site,shrub tag,treatment,GPS label,lat,long,nearest.shrub.distance,nearest.shrub.id,shrub.density.0.5,shrub.density.1,shrub.density.2.5,shrub.density.5,shrub.density.7.5,shrub.density.10,shrub.density.20,nearest.shrub.area,nearest.shrub.lat,nearest.shrub.long
1,147,clipped,1,34.84812596,-119.483145,,,,,,,,,,,,
1,149,unclipped,2,34.84826996,-119.483243,,,,,,,,,,,,
1,152,clipped,3,34.84853801,-119.483289,,,,,,,,,,,,
1,155,unclipped,4,34.84872602,-119.483117,,,,,,,,,,,,
1,158,clipped,5,34.84900304,-119.483413,,,,,,,,,,,,
1,161,unclipped,6,34.84923396,-119.483511,,,,,,,,,,,,
2,188,clipped,7,34.85474397,-119.485971,,,,,,,,,,,,
2,190,unclipped,8,34.85435497,-119.486104,,,,,,,,,,,,
2,192,clipped,9,34.85420703,-119.485767,,,,,,,,,,,,
2,194,unclipped,10,34.85362197,-119.485961,,,,,,,,,,,,
2,196,clipped,11,34.85502401,-119.486531,,,,,,,,,,,,
2,200,unclipped,12,34.854935,-119.486764,,,,,,,,,,,,
3,111,unclipped,13,34.93852797,-119.481707,,,,,,,,,,,,
3,114,clipped,14,34.938404,-119.481292,,,,,,,,,,,,
3,117,unclipped,15,34.93837601,-119.481197,,,,,,,,,,,,
3,120,clipped,16,34.93823896,-119.481004,,,,,,,,,,,,
3,123,unclipped,17,34.93824399,-119.48084,,,,,,,,,,,,
3,126,clipped,18,34.938245,-119.480428,,,,,,,,,,,,
4,130,clipped,19,34.94738999,-119.48008,,,,,,,,,,,,
4,133,unclipped,20,34.94732201,-119.480173,,,,,,,,,,,,
4,137,unclipped,21,34.947464,-119.480102,,,,,,,,,,,,
4,140,clipped,22,,,,,,,,,,,,,,
4,143,unclipped,23,34.94722403,-119.480491,,,,,,,,,,,,
4,198,clipped,24,34.94758504,-119.48009,,,,,,,,,,,,
5,176,unclipped,25,35.04567903,-119.889839,,,,,,,,,,,,
5,178,clipped,26,35.04560402,-119.889716,,,,,,,,,,,,
5,180,unclipped,27,35.04571499,-119.889496,,,,,,,,,,,,
5,182,clipped,28,35.04565003,-119.888943,,,,,,,,,,,,
5,184,unclipped,29,35.04595203,-119.889098,,,,,,,,,,,,
5,186,clipped,30,35.04493397,-119.889457,,,,,,,,,,,,
6,164,unclipped,31,35.04867003,-119.896268,,,,,,,,,,,,
6,166,clipped,32,35.04901302,-119.895769,,,,,,,,,,,,
6,168,unclipped,33,35.04914696,-119.895824,,,,,,,,,,,,
6,170,clipped,34,35.04910497,-119.896045,,,,,,,,,,,,
6,172,unclipped,35,35.04901201,-119.896177,,,,,,,,,,,,
6,174,clipped,36,35.04861698,-119.896368,,,,,,,,,,,,
